"Sort Order","Team ID","Team Name"
1,00000_abernl,
2,00001_adamsg,
3,00002_bahric,
4,00003_baliss,
5,00004_barteh,
6,00005_bergea,
7,00006_binsl,
8,00007_bitdiddle,
9,00008_browna,
10,00009_buckrb,
11,00010_champd,
12,00011_dares,
13,00012_fayc,
14,00013_gorczj,
15,00014_gradyg,
16,00015_hamile,
17,00016_harbel,
18,00017_hermin,
19,00018_hirthn,
20,00019_huele,
21,00020_joness,
22,00021_klockn,
23,00022_kuhnk,
24,00023_lehnes,
25,00024_muelll,
26,00025_nitzsf,
27,00026_nolang,
28,00027_oconnd,
29,00028_pfeffr,
30,00029_ritcha,
31,00030_runoli,
32,00031_schads,
33,00032_schaeb,
34,00033_sengec,
35,00034_student,
36,00035_yundtk,
